127.0.0.1 - - [10/May/2021:13:34:17 -0500] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:19 -0500] "GET /generalSeguros HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:20 -0500] "GET /generalSeguros/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:37 -0500] "GET /generalSeguros/login HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:37 -0500] "GET /generalSeguros/resources/img/gsLogoTrans.png HTTP/1.1" 200 27603
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:37 -0500] "GET /generalSeguros/resources/css/application.css HTTP/1.1" 200 656376
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:37 -0500] "GET /generalSeguros/resources/img/logoLight.png HTTP/1.1" 200 77130
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:37 -0500] "GET /generalSeguros/resources/css/fonts/google/open-sans-light.woff HTTP/1.1" 200 22656
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:38 -0500] "GET /generalSeguros/resources/css/fonts/google/open-sans-semibold.woff HTTP/1.1" 200 22604
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:38 -0500] "GET /generalSeguros/resources/css/fonts/google/open-sans.woff HTTP/1.1" 200 21956
0:0:0:0:0:0:0:1 - - [10/May/2021:13:35:38 -0500] "GET /generalSeguros/resources/img/favicon-gs.png HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [10/May/2021:13:46:59 -0500] "POST /generalSeguros/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:13:46:59 -0500] "GET /generalSeguros/login?error=true HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [10/May/2021:13:46:59 -0500] "GET /generalSeguros/resources/img/gsLogoTrans.png HTTP/1.1" 200 27603
0:0:0:0:0:0:0:1 - - [10/May/2021:13:46:59 -0500] "GET /generalSeguros/resources/img/logoLight.png HTTP/1.1" 200 77130
0:0:0:0:0:0:0:1 - - [10/May/2021:13:46:59 -0500] "GET /generalSeguros/resources/css/application.css HTTP/1.1" 200 656376
