127.0.0.1 - - [27/Jun/2020:23:27:27 -0500] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:36 -0500] "GET /ScriptlesJSP/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:37 -0500] "GET /favicon.ico HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:44 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo=red HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:48 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:50 -0500] "GET /ScriptlesJSP/scriptles.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:57 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:58 -0500] "GET /ScriptlesJSP/scriptles.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:00 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:06 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo= HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:09 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:14 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo=fresa HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:17 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:22 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo=negro HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:25 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:30 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo=rojo HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:32 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:30:38 -0500] "GET /ScriptlesJSP/fondoColor.jsp?colorFondo=darkgreen HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:30:38 -0500] "GET /favicon.ico HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:30:40 -0500] "GET /ScriptlesJSP/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:30:41 -0500] "GET /favicon.ico HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:30:53 -0500] "GET /ScriptlesJSP/scriptles.jsp HTTP/1.1" 200 314
